,state,Totalcount,TotalPop,rate,value
1,Alaska,1696,3692189,0.04593481,4.593480995
2,Alabama,19785,24265966,0.081533948,8.153394759
3,Arkansas,14434,14899089,0.096878406,9.687840646
4,Arizona,19850,34196763,0.05804643,5.804642972
5,California,85134,194467581,0.043777991,4.377799094
6,Colorado,11593,27230630,0.042573382,4.257338152
7,Connecticut,13605,17929761,0.075879428,7.587942751
8,Delaware,1527,3370464,0.045305335,4.530533481
9,District of Columbia,4153,4703941,0.088287672,8.828767198
10,Florida,85025,101254539,0.083971544,8.397154423
11,Georgia,33652,50941256,0.066060405,6.606040495
12,Hawaii,4171,7098107,0.058762146,5.876214602
13,Iowa,12439,15599464,0.079739919,7.973991927
14,Idaho,4581,8296366,0.055216947,5.521694679
15,Illinois,47286,64264664,0.073580094,7.358009372
16,Indiana,28061,33063622,0.08486971,8.486970968
17,Kansas,9503,14525860,0.065421256,6.542125561
18,Kentucky,24611,22137402,0.111173841,11.11738405
19,Louisiana,17726,23282665,0.076133896,7.613389618
20,Maine,25628,33962755,0.075459132,7.545913163
21,Maryland,19392,29898169,0.064860159,6.486015916
22,Massachusetts,6980,6653873,0.104901311,10.49013109
23,Michigan,39794,49704848,0.080060601,8.006060093
24,Minnesota,18138,27439282,0.066102313,6.610231274
25,Missouri,27322,30364511,0.089980043,8.998004282
26,Mississippi,13230,14946074,0.088518229,8.851822893
27,Montana,3550,5159911,0.068799636,6.879963627
28,North Carolina,40825,50238101,0.081263024,8.126302386
29,North Dakota,2240,3722932,0.060167631,6.016763132
30,Nebraska,6111,9459942,0.064598705,6.459870473
31,New Hampshire,5631,6688065,0.084194756,8.419475588
32,New Jersey,29774,44359070,0.067120433,6.712043332
33,New Mexico,4864,10459529,0.04650305,4.650304999
34,Nevada,8682,14356827,0.060472972,6.04729722
35,New York,69809,98178092,0.071104458,7.110445781
36,Ohio,49754,58096531,0.085640225,8.564022523
37,Oklahoma,15446,19500812,0.079206958,7.920695815
38,Oregon,13682,20141928,0.067927956,6.792795605
39,Pennsylvania,54335,63925466,0.084997425,8.499742497
40,Rhode Island,4712,5280861,0.089227874,8.922787402
41,South Carolina,20100,24459653,0.082176145,8.217614534
42,South Dakota,2819,4281467,0.065841918,6.58419182
43,Tennessee,30129,32978871,0.091358494,9.135849435
44,Texas,66123,137213629,0.048189819,4.818981939
45,Utah,3162,14963554,0.021131344,2.113134353
46,Virginia,27107,41804189,0.064842784,6.484278406
47,Vermont,2616,3124796,0.083717465,8.371746508
48,Washington,21958,35899000,0.061166049,6.116604919
49,Wisconsin,21214,28815341,0.073620507,7.362050652
50,West Virginia,10444,9193313,0.113604312,11.36043122
51,Wyoming,1428,2913563,0.049012155,4.901215453
